exp,samples,mix,day,strain,s9,dose,dose_value,n,mean_rev,sd_rev,se_rev
1,abiotic,1,0,TA98,no,a,50,2,12.5,2.1213203435596424,1.4999999999999998
1,abiotic,1,0,TA98,no,b,25,2,12.5,2.1213203435596424,1.4999999999999998
1,abiotic,1,0,TA98,no,c,13,2,7.5,2.1213203435596424,1.4999999999999998
1,abiotic,1,0,TA98,no,d,5,2,16,2.8284271247461903,2
1,abiotic,1,7,TA98,no,a,50,2,14,2.8284271247461903,2
1,abiotic,1,7,TA98,no,b,25,2,17.5,0.7071067811865476,0.5
1,abiotic,1,7,TA98,no,c,13,2,12,1.4142135623730951,1
1,abiotic,1,7,TA98,no,d,5,2,14,2.8284271247461903,2
1,biotic,1,7,TA98,no,a,50,2,15.5,4.949747468305833,3.4999999999999996
1,biotic,1,7,TA98,no,b,25,2,18,4.242640687119285,2.9999999999999996
1,biotic,1,7,TA98,no,c,13,2,16.5,6.363961030678928,4.5
1,biotic,1,7,TA98,no,d,5,2,15.5,3.5355339059327378,2.5
2,abiotic,1,0,TA100,no,a,50,2,46.5,3.5355339059327378,2.5
2,abiotic,1,0,TA100,no,b,25,2,40.5,6.363961030678928,4.5
2,abiotic,1,0,TA100,no,c,13,2,45.5,3.5355339059327378,2.5
2,abiotic,1,0,TA100,no,d,5,2,52.5,0.7071067811865476,0.5
2,abiotic,1,7,TA100,no,a,50,2,43,5.656854249492381,4
2,abiotic,1,7,TA100,no,b,25,2,52.5,4.949747468305833,3.4999999999999996
2,abiotic,1,7,TA100,no,c,13,2,44.5,9.192388155425117,6.499999999999999
2,abiotic,1,7,TA100,no,d,5,2,54,7.0710678118654755,5
2,biotic,1,7,TA100,no,a,50,2,75,14.142135623730951,10
2,biotic,1,7,TA100,no,b,25,2,62.5,6.363961030678928,4.5
2,biotic,1,7,TA100,no,c,13,2,54.5,7.7781745930520225,5.499999999999999
2,biotic,1,7,TA100,no,d,5,2,59.5,4.949747468305833,3.4999999999999996
3,abiotic,2,0,TA100,no,a,50,2,43.5,0.7071067811865476,0.5
3,abiotic,2,0,TA100,no,b,25,2,53,2.8284271247461903,2
3,abiotic,2,0,TA100,no,c,13,2,45,0,0
3,abiotic,2,0,TA100,no,d,5,2,53,11.313708498984761,8
3,abiotic,2,0,TA98,no,a,50,2,24.5,2.1213203435596424,1.4999999999999998
3,abiotic,2,0,TA98,no,b,25,2,23.5,9.192388155425117,6.499999999999999
3,abiotic,2,0,TA98,no,c,13,2,23,5.656854249492381,4
3,abiotic,2,0,TA98,no,d,5,2,25.5,0.7071067811865476,0.5
3,abiotic,2,7,TA100,no,a,50,2,47,1.4142135623730951,1
3,abiotic,2,7,TA100,no,b,25,2,62,4.242640687119285,2.9999999999999996
3,abiotic,2,7,TA100,no,c,13,2,49.5,3.5355339059327378,2.5
3,abiotic,2,7,TA100,no,d,5,2,54.5,4.949747468305833,3.4999999999999996
3,abiotic,2,7,TA98,no,a,50,2,26,2.8284271247461903,2
3,abiotic,2,7,TA98,no,b,25,2,19.5,0.7071067811865476,0.5
3,abiotic,2,7,TA98,no,c,13,2,28,5.656854249492381,4
3,abiotic,2,7,TA98,no,d,5,2,24,7.0710678118654755,5
3,biotic,2,7,TA100,no,a,50,2,64.5,10.606601717798213,7.5
3,biotic,2,7,TA100,no,b,25,2,56,7.0710678118654755,5
3,biotic,2,7,TA100,no,c,13,2,61.5,7.7781745930520225,5.499999999999999
3,biotic,2,7,TA100,no,d,5,2,53,11.313708498984761,8
3,biotic,2,7,TA98,no,a,50,2,31,5.656854249492381,4
3,biotic,2,7,TA98,no,b,25,2,26,2.8284271247461903,2
3,biotic,2,7,TA98,no,c,13,2,26.5,7.7781745930520225,5.499999999999999
3,biotic,2,7,TA98,no,d,5,2,34.5,0.7071067811865476,0.5
4,abiotic,1,0,TA98,yes,a,50,2,45.5,12.020815280171307,8.499999999999998
4,abiotic,1,0,TA98,yes,b,25,2,41,0,0
4,abiotic,1,0,TA98,yes,c,13,2,49,8.48528137423857,5.999999999999999
4,abiotic,1,0,TA98,yes,d,5,2,49,0,0
4,abiotic,1,7,TA98,yes,a,50,2,44.5,4.949747468305833,3.4999999999999996
4,abiotic,1,7,TA98,yes,b,25,2,41.5,2.1213203435596424,1.4999999999999998
4,abiotic,1,7,TA98,yes,c,13,2,36,2.8284271247461903,2
4,abiotic,1,7,TA98,yes,d,5,2,44.5,6.363961030678928,4.5
4,abiotic,2,0,TA98,yes,a,50,2,42.5,6.363961030678928,4.5
4,abiotic,2,0,TA98,yes,b,25,2,38,1.4142135623730951,1
4,abiotic,2,0,TA98,yes,c,13,2,40.5,6.363961030678928,4.5
4,abiotic,2,0,TA98,yes,d,5,2,47,5.656854249492381,4
4,abiotic,2,7,TA98,yes,a,50,2,39,8.48528137423857,5.999999999999999
4,abiotic,2,7,TA98,yes,b,25,2,54,11.313708498984761,8
4,abiotic,2,7,TA98,yes,c,13,2,44,1.4142135623730951,1
4,abiotic,2,7,TA98,yes,d,5,2,39,8.48528137423857,5.999999999999999
4,biotic,1,7,TA98,yes,a,50,2,34.5,4.949747468305833,3.4999999999999996
4,biotic,1,7,TA98,yes,b,25,2,41,5.656854249492381,4
4,biotic,1,7,TA98,yes,c,13,2,34.5,6.363961030678928,4.5
4,biotic,1,7,TA98,yes,d,5,2,42.5,6.363961030678928,4.5
4,biotic,2,7,TA98,yes,a,50,2,45.5,6.363961030678928,4.5
4,biotic,2,7,TA98,yes,b,25,2,45,8.48528137423857,5.999999999999999
4,biotic,2,7,TA98,yes,c,13,2,40.5,0.7071067811865476,0.5
4,biotic,2,7,TA98,yes,d,5,2,43,7.0710678118654755,5
5,abiotic,1,0,TA100,yes,a,50,2,42.5,2.1213203435596424,1.4999999999999998
5,abiotic,1,0,TA100,yes,b,25,2,31.5,6.363961030678928,4.5
5,abiotic,1,0,TA100,yes,c,13,2,41.5,16.263455967290593,11.5
5,abiotic,1,0,TA100,yes,d,5,2,31,1.4142135623730951,1
